codigo_de_barras,oferta,data_inicio,data_fim
7891515791179,25.99,2021-05-04,2021-05-09
7891515786298,25.99,2021-05-04,2021-05-09
7893000043220,4.99,2021-05-04,2021-05-09
7893000027701,4.99,2021-05-04,2021-05-09
7893000035553,4.99,2021-05-04,2021-05-09
7893000027718,4.99,2021-05-04,2021-05-09
7893000043213,4.99,2021-05-04,2021-05-09
7893000071261,4.99,2021-05-04,2021-05-09
7893000071285,4.99,2021-05-04,2021-05-09
7893000394209,4.99,2021-05-04,2021-05-09
7893000383005,4.99,2021-05-04,2021-05-09
7898276522332,13.99,2021-05-04,2021-05-09
8410179100036,16.99,2021-05-04,2021-05-09
7891031412176,4.99,2021-05-04,2021-05-09
7898152996776,15.90,2021-05-04,2021-05-09
7898152990040,13.90,2021-05-04,2021-05-09
7898152996936,13.90,2021-05-04,2021-05-09
7898152996929,13.90,2021-05-04,2021-05-09
7898152990057,13.90,2021-05-04,2021-05-09
7898152996370,6.99,2021-05-04,2021-05-09
7898152990064,6.99,2021-05-04,2021-05-09
7898152992129,16.90,2021-05-04,2021-05-09
7898152990132,7.59,2021-05-04,2021-05-09
7898152991580,7.59,2021-05-04,2021-05-09
7898152990170,7.59,2021-05-04,2021-05-09
7898152992181,7.59,2021-05-04,2021-05-09
7898152990163,7.59,2021-05-04,2021-05-09
7898152992273,7.59,2021-05-04,2021-05-09
7898152991566,7.59,2021-05-04,2021-05-09
7898152990156,7.59,2021-05-04,2021-05-09
7898152997230,12.90,2021-05-04,2021-05-09
7896200115773,5.99,2021-05-04,2021-05-09
7896901200013,19.90,2021-05-04,2021-05-09
8002153232125,59.90,2021-05-04,2021-05-09
8002153232132,59.90,2021-05-04,2021-05-09
8002153232118,59.90,2021-05-04,2021-05-09
8008530070335,28.90,2021-05-04,2021-05-09
8008530070342,28.90,2021-05-04,2021-05-09
8019873824585,84.90,2021-05-04,2021-05-09
8019873624659,84.90,2021-05-04,2021-05-09
8019873924650,114.90,2021-05-04,2021-05-09
8019873578044,89.90,2021-05-04,2021-05-09
8019873578020,89.90,2021-05-04,2021-05-09
8019873578006,123.90,2021-05-04,2021-05-09
8018653007125,31.90,2021-05-04,2021-05-09
8000942085013,49.90,2021-05-04,2021-05-09
8000942085006,49.90,2021-05-04,2021-05-09
8000942084832,49.90,2021-05-04,2021-05-09
8002153227114,59.90,2021-05-04,2021-05-09
