codigo_de_barras,oferta,data_inicio,data_fim
7891000244425,7.99,2021-05-01,2021-05-06
7891025201786,2.99,2021-05-04,2021-05-06
7898067340404,7.79,2021-05-04,2021-05-09
7894904070572,39.99,2021-05-04,2021-05-09
7894904996483,14.99,2021-04-23,2021-05-09
7898553442933,7.99,2021-04-27,2021-05-09
7891515556822,27.99,2021-04-29,2021-05-09
7894900681000,3.99,2021-04-29,2021-05-09
7898994901013,26.90,2021-04-29,2021-05-09
7898994901006,26.90,2021-04-29,2021-05-09
7898994901020,26.90,2021-04-29,2021-05-09
7898994901037,26.90,2021-04-29,2021-05-09
7898994901051,26.90,2021-04-29,2021-05-09
6125,22.90,2021-05-04,2021-05-09
7207,17.90,2021-05-04,2021-05-09
6194,14.90,2021-05-04,2021-05-09
7896275960209,4.99,2021-04-30,2021-05-09
7891999960054,4.99,2021-04-30,2021-05-09
7891999014092,39.90,2021-04-30,2021-05-09
7891991014717,5.49,2021-05-01,2021-05-09
7898994672654,15.99,2021-05-01,2021-05-09
7898994672661,15.99,2021-05-01,2021-05-09
7898965892036,15.99,2021-05-01,2021-05-09
7898994672647,15.99,2021-05-01,2021-05-09
7891515431938,4.99,2021-05-01,2021-05-09
7891172432033,29.98,2021-05-04,2021-05-09
7891150069138,16.99,2021-05-04,2021-05-09
7899026440234,13.98,2021-05-04,2021-05-09
7896014123902,13.98,2021-05-04,2021-05-09
7899026425088,13.98,2021-05-04,2021-05-09
7899026420465,13.98,2021-05-04,2021-05-09
7896014148844,13.98,2021-05-04,2021-05-09
7899026421776,13.98,2021-05-04,2021-05-09
7896014102358,13.98,2021-05-04,2021-05-09
7896014160075,13.98,2021-05-04,2021-05-09
7896014123889,13.98,2021-05-04,2021-05-09
7899026415553,13.98,2021-05-04,2021-05-09
7896014137169,13.98,2021-05-04,2021-05-09
7896014123476,13.98,2021-05-04,2021-05-09
7899026487208,13.98,2021-05-04,2021-05-09
7899026487321,13.98,2021-05-04,2021-05-09
7899026483781,13.98,2021-05-04,2021-05-09
7899026419537,13.98,2021-05-04,2021-05-09
7899026413696,13.98,2021-05-04,2021-05-09
7899026412576,13.98,2021-05-04,2021-05-09
7899026464933,13.98,2021-05-04,2021-05-09
7898587764926,13.98,2021-05-04,2021-05-09
7898587774437,13.98,2021-05-04,2021-05-09
7899706113182,13.98,2021-05-04,2021-05-09
7899706124225,13.98,2021-05-04,2021-05-09
7899706133418,13.98,2021-05-04,2021-05-09
7899706152129,13.98,2021-05-04,2021-05-09
7898587774352,13.98,2021-05-04,2021-05-09
7899706117753,13.98,2021-05-04,2021-05-09
7899706170857,13.98,2021-05-04,2021-05-09
7899706180962,13.98,2021-05-04,2021-05-09
7899706187404,13.98,2021-05-04,2021-05-09
7899026440210,14.99,2021-05-04,2021-05-09
7899026422346,14.99,2021-05-04,2021-05-09
7899026415140,14.99,2021-05-04,2021-05-09
7899026425118,14.99,2021-05-04,2021-05-09
7899026457386,14.99,2021-05-04,2021-05-09
7899026415157,14.99,2021-05-04,2021-05-09
7899026483866,14.99,2021-05-04,2021-05-09
7899026420595,14.99,2021-05-04,2021-05-09
7899026415560,14.99,2021-05-04,2021-05-09
7899026415188,14.99,2021-05-04,2021-05-09
7899026464995,14.99,2021-05-04,2021-05-09
7898587764957,14.99,2021-05-04,2021-05-09
135955,14.99,2021-05-04,2021-05-09
7899026487260,14.99,2021-05-04,2021-05-09
7899706113229,14.99,2021-05-04,2021-05-09
7899706117791,14.99,2021-05-04,2021-05-09
7899706124263,14.99,2021-05-04,2021-05-09
7899706152181,14.99,2021-05-04,2021-05-09
7899706111621,14.99,2021-05-04,2021-05-09
7899706170895,14.99,2021-05-04,2021-05-09
7899706181006,14.99,2021-05-04,2021-05-09
7899706187466,14.99,2021-05-04,2021-05-09
7899026418882,22.99,2021-05-04,2021-05-09
7899026457607,22.99,2021-05-04,2021-05-09
7899026457546,22.99,2021-05-04,2021-05-09
7899026457768,22.99,2021-05-04,2021-05-09
7899026457621,22.99,2021-05-04,2021-05-09
7899026457829,22.99,2021-05-04,2021-05-09
7899026465015,22.99,2021-05-04,2021-05-09
7899026457645,22.99,2021-05-04,2021-05-09
7898587764971,22.99,2021-05-04,2021-05-09
7899026487369,22.99,2021-05-04,2021-05-09
7899026483842,22.99,2021-05-04,2021-05-09
7898587774475,22.99,2021-05-04,2021-05-09
7899706113243,22.99,2021-05-04,2021-05-09
7899706133456,22.99,2021-05-04,2021-05-09
7899026487246,22.99,2021-05-04,2021-05-09
7899706152204,22.99,2021-05-04,2021-05-09
7899706170918,22.99,2021-05-04,2021-05-09
7899026459960,9.99,2021-05-04,2021-05-09
7899026460041,9.99,2021-05-04,2021-05-09
7899026459465,9.99,2021-05-04,2021-05-09
7899026460324,9.99,2021-05-04,2021-05-09
7899026459748,9.99,2021-05-04,2021-05-09
7899026460003,9.99,2021-05-04,2021-05-09
7899026458949,9.99,2021-05-04,2021-05-09
7899026460065,9.99,2021-05-04,2021-05-09
7899026459502,9.99,2021-05-04,2021-05-09
7899026464919,9.99,2021-05-04,2021-05-09
7899026487178,9.99,2021-05-04,2021-05-09
7899026487284,9.99,2021-05-04,2021-05-09
7899026483767,9.99,2021-05-04,2021-05-09
7899026486454,9.99,2021-05-04,2021-05-09
7899026460027,9.99,2021-05-04,2021-05-09
7899026460447,9.99,2021-05-04,2021-05-09
7899026459489,9.99,2021-05-04,2021-05-09
7899026459687,9.99,2021-05-04,2021-05-09
7898587764889,9.99,2021-05-04,2021-05-09
7898587774314,9.99,2021-05-04,2021-05-09
7898587774390,9.99,2021-05-04,2021-05-09
7899706113144,9.99,2021-05-04,2021-05-09
7899706117715,9.99,2021-05-04,2021-05-09
7899706133371,9.99,2021-05-04,2021-05-09
7899706152105,9.99,2021-05-04,2021-05-09
7899706124188,9.99,2021-05-04,2021-05-09
7899706170833,9.99,2021-05-04,2021-05-09
7899706180924,9.99,2021-05-04,2021-05-09
7899706187343,9.99,2021-05-04,2021-05-09
7899706187541,33.90,2021-05-04,2021-05-09
7896014140558,25.99,2021-05-04,2021-05-09
7896014140435,25.99,2021-05-04,2021-05-09
7896014140732,25.99,2021-05-04,2021-05-09
7896014140541,25.99,2021-05-04,2021-05-09
7896014178643,25.99,2021-05-04,2021-05-09
7896014192786,25.99,2021-05-04,2021-05-09
7896014140480,25.99,2021-05-04,2021-05-09
7896014188208,25.99,2021-05-04,2021-05-09
7896014140695,25.99,2021-05-04,2021-05-09
7896014140763,25.99,2021-05-04,2021-05-09
7896014140497,25.99,2021-05-04,2021-05-09
7896014186129,25.99,2021-05-04,2021-05-09
7896014192779,25.99,2021-05-04,2021-05-09
7896014171439,25.99,2021-05-04,2021-05-09
7896014186020,25.99,2021-05-04,2021-05-09
7896014188727,25.99,2021-05-04,2021-05-09
7896014192793,25.99,2021-05-04,2021-05-09
7896014140442,25.99,2021-05-04,2021-05-09
7896014140459,25.99,2021-05-04,2021-05-09
7896014186075,25.99,2021-05-04,2021-05-09
7896014174003,25.99,2021-05-04,2021-05-09
7896014140640,25.99,2021-05-04,2021-05-09
7896014140503,25.99,2021-05-04,2021-05-09
7896014140534,25.99,2021-05-04,2021-05-09
7896014140589,25.99,2021-05-04,2021-05-09
7896014140596,25.99,2021-05-04,2021-05-09
7896014140701,25.99,2021-05-04,2021-05-09
7896014168132,25.99,2021-05-04,2021-05-09
7898587765671,25.99,2021-05-04,2021-05-09
7899706130424,25.99,2021-05-04,2021-05-09
7899706130417,25.99,2021-05-04,2021-05-09
7899706137492,25.99,2021-05-04,2021-05-09
7899706137485,25.99,2021-05-04,2021-05-09
7896014140633,25.99,2021-05-04,2021-05-09
7899706130400,25.99,2021-05-04,2021-05-09
7891024037126,19.90,2021-05-04,2021-05-09
7891010087722,4.99,2021-05-04,2021-05-09
7891010015268,4.99,2021-05-04,2021-05-09
7891010502195,4.99,2021-05-04,2021-05-09
7509546663012,16.49,2021-05-04,2021-05-09
7898610373583,45.90,2021-05-04,2021-05-09
7898610373842,45.90,2021-05-04,2021-05-09
70330370067,15.99,2021-05-04,2021-05-09
7891177755816,24.99,2021-05-04,2021-05-09
7891177781167,24.99,2021-05-04,2021-05-09
7891177758817,24.99,2021-05-04,2021-05-09
7891010691448,1.49,2021-05-04,2021-05-09
7891010877989,1.49,2021-05-04,2021-05-09
7891010690373,1.49,2021-05-04,2021-05-09
7891010610241,1.49,2021-05-04,2021-05-09
7891010921293,1.49,2021-05-04,2021-05-09
7891010247409,1.49,2021-05-04,2021-05-09
7891010247393,1.49,2021-05-04,2021-05-09
7891010247386,1.49,2021-05-04,2021-05-09
7891010247522,1.49,2021-05-04,2021-05-09
7891010247423,1.49,2021-05-04,2021-05-09
7891010247430,1.49,2021-05-04,2021-05-09
7891010247447,1.49,2021-05-04,2021-05-09
7891010704780,13.99,2021-05-04,2021-05-09
7896090401222,7.99,2021-05-04,2021-05-09
7896090401208,7.99,2021-05-04,2021-05-09
7896090404384,7.99,2021-05-04,2021-05-09
7897664169449,7.99,2021-05-04,2021-05-09
7896090404391,7.99,2021-05-04,2021-05-09
7897664169425,7.99,2021-05-04,2021-05-09
7896090401215,7.99,2021-05-04,2021-05-09
7908324401141,7.99,2021-05-04,2021-05-09
7908324401158,7.99,2021-05-04,2021-05-09
7908324401165,7.99,2021-05-04,2021-05-09
7891035051265,13.99,2021-05-04,2021-05-09
7891035051272,13.99,2021-05-04,2021-05-09
7891035800214,3.90,2021-05-04,2021-05-09
7891035285158,3.90,2021-05-04,2021-05-09
7891035285172,3.90,2021-05-04,2021-05-09
7891035285165,3.90,2021-05-04,2021-05-09
7896183300173,5.49,2021-05-04,2021-05-09
7896183300333,5.49,2021-05-04,2021-05-09
7896183300067,5.49,2021-05-04,2021-05-09
7896183301545,5.49,2021-05-04,2021-05-09
7896183300180,5.49,2021-05-04,2021-05-09
7896183300319,5.49,2021-05-04,2021-05-09
7896183302436,5.49,2021-05-04,2021-05-09
7896183301019,5.49,2021-05-04,2021-05-09
7896183302429,5.49,2021-05-04,2021-05-09
7894650001660,6.99,2021-05-04,2021-05-09
7894650014448,6.99,2021-05-04,2021-05-09
7894650938430,6.99,2021-05-04,2021-05-09
7894650001677,6.99,2021-05-04,2021-05-09
7896098905432,15.99,2021-05-04,2021-05-09
7891055609002,39.99,2021-05-04,2021-05-09
2134,19.99,2021-05-04,2021-05-09
6996,29.99,2021-05-04,2021-05-09
161,36.90,2021-05-04,2021-05-09
192,59.99,2021-05-04,2021-05-09
352,33.90,2021-05-04,2021-05-09
406,69.99,2021-05-04,2021-05-09
7894904219810,15.99,2021-05-04,2021-05-09
901,15.99,2021-05-04,2021-05-09
7891515791179,27.99,2021-05-04,2021-05-09
7891515786298,27.99,2021-05-04,2021-05-09
7894904070565,49.99,2021-05-04,2021-05-09
1144,12.99,2021-05-04,2021-05-09
7894904219674,15.99,2021-05-04,2021-05-09
7893000035553,5.49,2021-05-04,2021-05-09
7893000027718,5.49,2021-05-04,2021-05-09
7893000043213,5.49,2021-05-04,2021-05-09
7893000071261,5.49,2021-05-04,2021-05-09
7893000043220,5.49,2021-05-04,2021-05-09
7893000071285,5.49,2021-05-04,2021-05-09
7896052406890,22.99,2021-05-04,2021-05-09
7894904091102,19.99,2021-05-04,2021-05-09
11839,24.99,2021-05-04,2021-05-09
1106,16.99,2021-05-04,2021-05-09
840,22.90,2021-05-04,2021-05-09
7893000394209,5.99,2021-05-04,2021-05-09
7893000383005,5.99,2021-05-04,2021-05-09
12386,19.99,2021-05-04,2021-05-09
932,22.90,2021-05-04,2021-05-09
58391,8.99,2021-05-04,2021-05-09
7894904208647,13.99,2021-05-04,2021-05-09
864,14.90,2021-05-04,2021-05-09
7898276522332,15.99,2021-05-04,2021-05-09
2868,19.99,2021-05-04,2021-05-09
1250,10.99,2021-05-04,2021-05-09
40563,12.99,2021-05-04,2021-05-09
51651,10.99,2021-05-04,2021-05-09
1922,12.99,2021-05-04,2021-05-09
58261,12.99,2021-05-04,2021-05-09
7896901200013,22.90,2021-05-04,2021-05-09
7896200115773,6.99,2021-05-04,2021-05-09
7891080147951,2.79,2021-05-04,2021-05-09
7898247780075,6.99,2021-05-04,2021-05-09
7898152996776,17.90,2021-05-04,2021-05-09
7898152990040,15.90,2021-05-04,2021-05-09
7898152996936,15.90,2021-05-04,2021-05-09
7898152996929,15.90,2021-05-04,2021-05-09
7898152990057,15.90,2021-05-04,2021-05-09
7898152996370,7.99,2021-05-04,2021-05-09
7898152990064,7.99,2021-05-04,2021-05-09
7898152992129,17.90,2021-05-04,2021-05-09
7898152991580,8.59,2021-05-04,2021-05-09
7898152990170,8.59,2021-05-04,2021-05-09
7898152992181,8.59,2021-05-04,2021-05-09
7898152990163,8.59,2021-05-04,2021-05-09
7898152992273,8.59,2021-05-04,2021-05-09
7898152990132,8.59,2021-05-04,2021-05-09
7898152991566,8.59,2021-05-04,2021-05-09
7898152990156,8.59,2021-05-04,2021-05-09
7898152997230,14.90,2021-05-04,2021-05-09
7891031412176,5.99,2021-05-04,2021-05-09
7896022200121,5.99,2021-05-04,2021-05-09
8410179100036,20.90,2021-05-04,2021-05-09
7894321822020,4.99,2021-05-04,2021-05-09
7894321826011,4.99,2021-05-04,2021-05-09
7896009301117,4.99,2021-05-04,2021-05-09
7896009301049,3.99,2021-05-04,2021-05-09
7894321811789,3.99,2021-05-04,2021-05-09
7896009500152,3.99,2021-05-04,2021-05-09
7896002100014,8.99,2021-05-04,2021-05-09
7896045523412,3.99,2021-05-04,2021-05-09
7894900093483,10.29,2021-05-04,2021-05-09
7894900038972,10.29,2021-05-04,2021-05-09
7891141031519,9.98,2021-05-04,2021-05-09
7898295301352,1.99,2021-05-04,2021-05-09
7891136057012,39.90,2021-05-04,2021-05-09
5000291020706,99.90,2021-05-04,2021-05-09
7790975000183,69.90,2021-05-04,2021-05-09
7896001250628,10.95,2021-05-04,2021-05-09
7896001250642,10.95,2021-05-04,2021-05-09
7896001215221,55.60,2021-05-04,2021-05-09
7896001282216,4.39,2021-05-04,2021-05-09
7896001282209,4.39,2021-05-04,2021-05-09
7896001282193,4.39,2021-05-04,2021-05-09
7896001210196,13.95,2021-05-04,2021-05-09
7896001215245,13.95,2021-05-04,2021-05-09
7896001210042,13.95,2021-05-04,2021-05-09
7896001200043,13.95,2021-05-04,2021-05-09
7896001215443,15.29,2021-05-04,2021-05-09
7506174500207,2.99,2021-05-04,2021-05-09
7891000101957,8.59,2021-05-04,2021-05-09
7894321711263,5.45,2021-05-04,2021-05-09
7622300991456,5.79,2021-05-04,2021-05-09
7622300991418,5.79,2021-05-04,2021-05-09
7622300991371,5.79,2021-05-04,2021-05-09
7622210961716,5.79,2021-05-04,2021-05-09
7622210961969,5.79,2021-05-04,2021-05-09
7622210962072,5.79,2021-05-04,2021-05-09
7622210961679,5.79,2021-05-04,2021-05-09
7622210936707,5.79,2021-05-04,2021-05-09
7622300991524,5.79,2021-05-04,2021-05-09
7622300992071,5.79,2021-05-04,2021-05-09
7896275960575,2.39,2021-05-04,2021-05-09
7896228600015,6.89,2021-05-04,2021-05-09
7898215152002,4.99,2021-05-04,2021-05-09
7891000086254,2.39,2021-05-04,2021-05-09
7898924049365,7.99,2021-05-04,2021-05-09
7898908207149,4.59,2021-05-04,2021-05-09
7891025115656,5.99,2021-05-04,2021-05-09
7891025115649,5.99,2021-05-04,2021-05-09
7891025115632,5.99,2021-05-04,2021-05-09
7891025320555,10.90,2021-05-04,2021-05-09
7891025106548,10.90,2021-05-04,2021-05-09
7898271920935,11.99,2021-05-04,2021-05-09
17411,59.90,2021-05-04,2021-05-09
20022,99.90,2021-05-04,2021-05-09
7891150026742,15.90,2021-05-04,2021-05-09
7891150050242,15.90,2021-05-04,2021-05-09
7891150050235,15.90,2021-05-04,2021-05-09
7891150055858,15.90,2021-05-04,2021-05-09
7891150026773,15.90,2021-05-04,2021-05-09
7891150039384,15.90,2021-05-04,2021-05-09
7891150077263,15.90,2021-05-04,2021-05-09
7891024037119,19.90,2021-05-04,2021-05-09
17039,24.90,2021-05-04,2021-05-09
20299,17.90,2021-05-04,2021-05-09
20268,16.90,2021-05-04,2021-05-09
52399,29.90,2021-05-04,2021-05-09
1267,9.99,2021-05-04,2021-05-09
7896331100839,6.69,2021-05-04,2021-05-09
7896331100471,8.69,2021-05-04,2021-05-09
78906679,8.99,2021-05-04,2021-05-09
7899026440197,22.99,2021-05-04,2021-05-09
7899026440258,22.99,2021-05-04,2021-05-09
7899026418844,22.99,2021-05-04,2021-05-09
7899026420120,22.99,2021-05-04,2021-05-09
7899026425101,22.99,2021-05-04,2021-05-09
7899026420601,22.99,2021-05-04,2021-05-09
7899706187480,22.99,2021-05-04,2021-05-09
7893000027701,5.49,2021-05-05,2021-05-09
7891010704773,13.99,2021-05-04,2021-05-09
7898938227018,6.99,2021-05-05,2021-05-09
7898938227124,6.99,2021-05-05,2021-05-09
7898938227032,6.99,2021-05-05,2021-05-09
7898938227025,6.99,2021-05-05,2021-05-09
7092,15.99,2021-05-05,2021-05-09
78940871,7.00,2021-04-29,2021-05-10
78941618,8.00,2021-04-29,2021-05-10
78937659,5.85,2021-04-29,2021-05-10
78937673,5.85,2021-04-29,2021-05-10
78937680,5.85,2021-04-29,2021-05-10
78937666,5.85,2021-04-29,2021-05-10
78939424,5.85,2021-04-29,2021-05-10
78940185,5.85,2021-04-29,2021-05-10
78939417,5.85,2021-04-29,2021-05-10
7896213005061,1.39,2021-05-04,2021-05-10
7896283007002,8.99,2021-05-05,2021-05-14
7896283006999,6.99,2021-05-05,2021-05-14
7898115900338,2.79,2021-05-05,2021-05-14
7898067340688,8.49,2021-05-04,2021-05-16
7891025121206,2.49,2021-05-05,2021-05-16
7891025121237,2.49,2021-05-05,2021-05-16
7891025121220,2.49,2021-05-05,2021-05-16
7891025121190,2.49,2021-05-05,2021-05-16
7897173001254,13.99,2021-05-05,2021-05-16
736532476913,32.99,2021-05-05,2021-05-16
7891203010056,5.39,2021-05-04,2021-05-18
7891203058881,7.49,2021-05-04,2021-05-18
7891203058850,7.49,2021-05-04,2021-05-18
7891203058843,7.49,2021-05-04,2021-05-18
7891203058867,7.49,2021-05-04,2021-05-18
7891203060174,7.49,2021-05-04,2021-05-18
7891203060181,7.49,2021-05-04,2021-05-18
7891203063335,7.49,2021-05-04,2021-05-18
7891203058836,7.49,2021-05-04,2021-05-18
7891203067920,7.49,2021-05-04,2021-05-18
7891203067913,7.49,2021-05-04,2021-05-18
7891203067906,7.49,2021-05-04,2021-05-18
7891203068200,7.49,2021-05-04,2021-05-18
7891203068217,7.49,2021-05-04,2021-05-18
7891203056665,6.69,2021-05-04,2021-05-18
7891203040725,6.69,2021-05-04,2021-05-18
7891203040701,6.69,2021-05-04,2021-05-18
7891203040718,6.69,2021-05-04,2021-05-18
7891203050397,6.69,2021-05-04,2021-05-18
7891203056450,6.69,2021-05-04,2021-05-18
7891203040756,6.99,2021-05-04,2021-05-18
7891203063359,6.99,2021-05-04,2021-05-18
7891203063342,6.99,2021-05-04,2021-05-18
7898022161006,3.99,2021-05-01,2021-05-23
7898022160399,3.99,2021-05-01,2021-05-23
7898022160375,3.99,2021-05-01,2021-05-23
7898022160344,3.99,2021-05-01,2021-05-23
7898177684023,12.99,2021-05-05,2021-05-23
7804350007640,29.99,2021-03-16,2021-05-30
7898615982988,349.90,2021-05-04,2021-05-30
7898221457009,94.90,2021-05-04,2021-05-30
34264495265,109.90,2021-05-04,2021-05-30
34264495289,109.90,2021-05-04,2021-05-30
34264495319,129.90,2021-05-04,2021-05-30
7898221456309,269.90,2021-05-04,2021-05-30
7898221451335,269.90,2021-05-04,2021-05-30
7898221459508,239.90,2021-05-04,2021-05-30
7891709139954,99.90,2021-05-04,2021-05-30
7891709135796,99.90,2021-05-04,2021-05-30
7891709135918,119.90,2021-05-04,2021-05-30
7892949504168,89.99,2021-05-04,2021-05-30
7892949504205,89.99,2021-05-04,2021-05-30
7892949504236,89.99,2021-05-04,2021-05-30
7891497603958,25.98,2021-05-04,2021-05-30
7892949967819,41.98,2021-05-04,2021-05-30
7892949917166,41.98,2021-05-04,2021-05-30
7892949967420,24.99,2021-05-04,2021-05-30
7892949443078,48.98,2021-05-04,2021-05-30
7891497686630,10.90,2021-05-04,2021-05-30
7892949968120,19.99,2021-05-04,2021-05-30
7892949917418,19.99,2021-05-04,2021-05-30
7892949967550,8.99,2021-05-04,2021-05-30
7896283004117,5.99,2021-05-05,2021-05-30
7898994545033,39.99,2021-03-15,2021-06-27
7898994545019,39.99,2021-03-15,2021-06-27
7793440703138,39.99,2021-04-22,2021-06-27
7793440000619,39.99,2021-04-22,2021-06-27
7793440702964,39.99,2021-04-22,2021-06-27
7793440702926,39.99,2021-04-22,2021-06-27
7793440001241,39.99,2021-04-22,2021-06-27
7793440000398,39.99,2021-04-22,2021-06-27
7793440001104,39.99,2021-04-22,2021-06-27
7793440703152,39.99,2021-04-22,2021-06-27
7793440000879,39.99,2021-04-22,2021-06-27
8002153227114,69.99,2021-04-22,2021-06-27
8002153227107,69.99,2021-04-22,2021-06-27
8002153227121,69.99,2021-04-22,2021-06-27
8002153227091,69.99,2021-04-22,2021-06-27
8002153219997,69.99,2021-04-22,2021-06-27
7898937791190,18.99,2021-04-26,2021-06-27
7898937795020,33.99,2021-04-26,2021-06-27
7898937793491,23.99,2021-04-26,2021-06-27
7898937793484,23.99,2021-04-26,2021-06-27
7898937793354,29.90,2021-04-26,2021-06-27
7898937793378,29.99,2021-04-26,2021-06-27
7898937793453,29.99,2021-04-26,2021-06-27
7898937793477,23.99,2021-04-26,2021-06-27
7804350596335,39.99,2021-03-15,2021-07-31
7804350000337,39.99,2021-03-15,2021-07-31
7804350600384,39.99,2021-03-15,2021-07-31
7804350174700,39.99,2021-03-15,2021-07-31
7804350596342,39.99,2021-03-15,2021-07-31
7804350600353,39.99,2021-03-15,2021-07-31
7804350596328,39.99,2021-03-15,2021-07-31
7622210937223,69.99,2021-03-15,2021-07-31
7622210693280,29.99,2021-03-15,2021-07-31
7790607000420,24.99,2021-04-22,2021-07-31
7790607000413,24.99,2021-04-22,2021-07-31
7898959242519,9.99,2021-04-23,2022-01-02
7613031501397,9.99,2021-04-10,2022-04-01
8033406265539,9.99,2020-06-11,2022-08-28
5600260461051,49.99,2019-08-26,2026-01-25
