codigo_de_barras,preco,market_system_code
253,36.90,13823
383,43.90,13832
666,17.90,13925
1021,34.90,14080
1045,26.99,14041
1151,29.99,14051
1229,32.90,14060
1250,10.99,18189
1465,24.90,14114
2349,139.99,12016
2660,39.90,12132
2868,19.99,12407
3742,46.90,12123
3766,23.90,12246
4145,9.90,11570
4169,6.90,11580
4282,2.59,12080
4336,2.59,12727
4725,2.99,13436
4831,9.90,14592
5319,23.90,11396
5708,39.99,20960
5982,7.00,5548
6835,7.00,5551
7092,19.99,14009
7344,12.69,13890
7603,10.50,18169
8785,29.90,18254
8945,15.90,42319
9683,3.00,5532
9737,5.00,5546
9751,2.00,5531
9775,5.00,5550
11075,26.90,15878
11365,5.70,14184
11525,26.90,13453
11792,22.99,12102
11969,29.90,14110
11983,34.90,14098
11990,31.90,13860
12003,25.90,13862
12515,14.90,12099
12867,31.90,14088
12928,35.90,13918
16858,33.90,14072
17039,24.90,14044
17831,15.99,42320
19279,31.99,14271
19392,35.90,14063
20220,49.99,9122
20756,15.90,9429
20787,65.90,9427
21203,23.90,9234
21661,55.90,6638
21678,49.90,7186
22446,32.90,18921
22743,37.90,19080
25003,43.90,23444
25010,35.90,23446
31776,14.90,31677
31837,18.90,31683
31844,12.90,31685
33244,22.90,32491
33428,22.90,32897
34241,42.90,33588
34982,28.90,15576
36603,33.90,79396
37761,79.90,43213
40365,24.90,50383
47128,85.90,66201
52443,43.99,73039
52634,55.90,73102
52665,55.90,73103
52672,29.99,73146
52788,25.90,73190
53082,36.90,73626
53372,52.50,74170
54119,31.90,75076
55666,49.90,76017
55673,69.99,76018
56441,38.90,77901
58100,32.90,13866
58186,17.99,79398
58209,5.59,79413
58230,10.90,79415
58254,10.90,79417
58261,12.99,79418
58278,18.90,79419
58292,5.90,79421
58308,13.90,79422
58315,17.90,79423
58322,19.99,79424
58339,21.90,79425
58346,24.99,79426
58353,10.90,79427
58377,9.99,79429
58391,8.99,79430
58421,11.90,79433
58438,22.90,79434
58476,21.99,79437
58483,21.90,79438
58490,22.90,79439
58506,8.99,79440
58513,9.99,79441
58537,8.99,79442
58551,9.99,79444
58575,8.90,79446
58667,11.90,79492
58681,33.90,79494
58735,34.90,79564
58742,44.90,79565
58759,44.90,79566
59183,0.00,80046
59251,85.90,80211
60523,0.00,81598
60721,99.90,82172
60738,149.90,82173
60745,119.90,82174
60851,119.90,82241
61063,33.90,82352
61070,38.94,82498
61117,86.93,82502
61230,38.94,82514
61308,29.96,82520
61346,64.93,82523
61360,38.93,82525
61384,46.97,82527
61421,74.93,82531
61438,64.96,82532
61469,39.96,82535
61551,39.96,82543
61612,34.96,82558
61681,36.93,82584
61698,43.96,82585
61728,33.96,82587
61735,37.96,82588
61742,59.96,82589
61841,98.96,82609
61865,28.96,82611
61964,13.83,82734
62022,29.96,82870
62077,27.86,82887
62091,28.96,82891
62138,21.43,82895
62145,29.92,82896
113564,2.99,26102
115544,2.59,25128
119955,7.00,30338
128360,299.00,36731
153034,9.99,18802
168816,59.98,60609
171793,2.99,63241
171809,2.99,63242
171816,2.99,63245
175739,2.99,65979
177603,5.99,67258
177634,10.90,67264
177658,10.90,67267
177672,8.90,67269
178785,7.50,68438
178792,7.50,68439
178846,7.50,68445
178853,7.50,68446
178877,7.50,68448
178945,7.70,68456
180634,5.70,70175
180641,5.70,70178
180658,5.70,70180
180665,5.70,70181
180672,7.70,70182
180696,5.70,70184
180726,7.70,70188
181341,4.99,70471
181617,6.95,70647
184731,11.90,74266
184793,11.90,74272
184809,12.90,74273
184816,12.90,74274
184830,11.90,74276
184847,12.90,74277
184861,12.90,74279
184878,12.90,74282
189057,11.90,78020
189064,11.90,78021
189071,11.90,78022
189095,11.90,78024
189101,11.90,78025
189118,11.90,78027
189149,11.90,78030
194280,0.99,83194
78905276,4.99,9984
78905351,7.29,10296
789169707,7.99,4350
789189569,2.69,11510
789718608,2.99,12088
606529443245,13.99,76673
606529663926,2.99,73665
609963002078,69.90,79805
735810203487,49.99,79802
736532199614,7.99,76746
736532476913,44.90,79795
736532602039,5.90,76568
751320775535,5.99,65611
5099873006368,179.90,62981
5601855119005,19.90,81915
6920354822193,7.49,69624
7501009222729,5.99,19283
7501064194160,5.99,49568
7509546061689,28.49,40283
7509546068558,18.69,62154
7509546079400,10.99,72498
7509546651040,8.59,76320
7613033353321,2.99,22701
7702010631207,12.49,66527
7791130002950,10.49,478
7793100111143,6.99,3912
7891000014165,3.19,7710
7891000014202,3.19,7736
7891000020890,3.79,7551
7891000027974,9.99,7558
7891000107508,6.99,51001
7891000110430,7.49,51004
7891000117224,6.99,56043
7891000120750,16.90,71387
7891000241448,2.59,61766
7891000244265,2.59,61765
7891000250525,11.99,66674
7891000252819,2.99,65608
7891000252833,2.99,65609
7891000261002,12.90,69737
7891000261460,3.79,71389
7891000261484,2.99,73857
7891010704773,13.99,74120
7891024002490,10.59,58777
7891024013540,15.49,55224
7891024026397,2.69,39049
7891024026472,11.69,40911
7891024027028,14.99,55226
7891024027325,10.99,46687
7891024029572,21.99,47963
7891024029787,8.99,55241
7891024029824,2.89,55231
7891024030813,18.99,55227
7891024033289,10.59,58760
7891024034415,25.99,62181
7891024034590,14.99,63935
7891024035047,2.69,16507
7891024035214,2.69,67579
7891024035818,8.49,62172
7891024036143,14.99,66533
7891024037454,16.90,68223
7891024039625,10.99,80612
7891024040614,8.99,69670
7891024041420,4.35,76329
7891024042311,7.49,76316
7891024042373,6.99,81218
7891024042397,19.99,77188
7891024042595,20.99,76319
7891024042908,7.99,76317
7891024110201,2.89,2867
7891024113783,2.69,3069
7891024114001,2.69,3053
7891024114292,2.69,24858
7891024114346,2.69,3056
7891024114544,4.35,76327
7891024114568,2.69,29520
7891024116128,17.49,4665
7891024120705,6.79,1328
7891024120804,6.79,1330
7891024120903,6.79,66531
7891024123560,11.59,4146
7891024127605,4.99,1324
7891024127629,8.99,16890
7891024127704,4.99,16516
7891024128305,4.99,1326
7891024128312,8.99,24757
7891024128565,25.99,690
7891024131930,3.39,3925
7891024132005,3.39,16494
7891024132371,5.89,54465
7891024134702,2.99,16499
7891024135020,6.99,3923
7891024135310,6.99,3914
7891024158708,11.79,2772
7891024160718,12.49,2491
7891024161913,8.99,2503
7891024171233,12.49,2490
7891024174036,8.99,2500
7891024174135,12.49,3864
7891024174180,12.49,3871
7891024174210,8.99,2502
7891024182475,6.49,16848
7891024182970,8.89,2747
7891024184608,4.49,63415
7891024193006,5.15,936
7891025121190,2.79,82128
7891025121206,2.79,81787
7891025121220,2.79,81793
7891025121237,2.79,81788
7891035502606,22.39,426
7891037645653,16.99,4480
7891042091384,5.69,5698
7891050002259,41.99,77075
7891058018238,29.99,76146
7891060679724,22.99,11521
7891065000288,27.98,18348
7891065000295,35.98,18350
7891080100550,41.98,9189
7891080147289,114.53,43128
7891080340741,11.22,21171
7891136057012,39.90,50497
7891141007378,5.99,4464
7891141019135,23.99,4841
7891149010103,1.89,22900
7891149011001,3.99,31652
7891149104468,1.89,22901
7891149104932,3.29,34072
7891149108404,1.89,74150
7891149108695,16.99,81451
7891149210503,3.99,10340
7891149840878,5.99,75707
7891150024618,8.99,32870
7891150028500,19.98,41595
7891150035003,8.99,41095
7891150060647,19.98,72102
7891182001762,4.99,9568
7891182014809,4.99,57257
7891182018814,4.99,9540
7891182020329,0.00,81197
7891182020343,0.00,81196
7891182031059,4.99,9521
7891182032988,4.99,31635
7891182033022,4.99,9628
7891182033640,4.99,10186
7891182050098,4.99,9560
7891182840019,4.99,9488
7891182850018,4.99,31605
7891182850025,4.99,9552
7891182850087,4.99,9545
7891182850117,4.99,9549
7891182860024,4.99,31609
7891182860116,4.99,9503
7891182991933,6.99,24562
7891182993845,4.99,23011
7891182996600,4.99,27270
7891182996662,4.99,27263
7891194000029,24.49,11902
7891194000036,28.98,11906
7891200008056,8.99,78123
7891200015573,15.49,71137
7891200190942,6.29,19571
7891200234257,9.99,19570
7891249061777,46.98,76618
7891350000092,19.99,16670
7891350025187,19.99,16672
7891350034110,4.99,75257
7891350037876,7.49,82357
7891515014520,29.99,14122
7891515023096,19.99,9530
7891515434335,7.69,78066
7891515437015,3.69,54586
7891515479541,3.69,60406
7891515479558,3.69,60407
7891515485115,27.99,61673
7891515486846,16.99,61665
7891515492229,19.90,64831
7891515492939,0.00,83232
7891515521394,10.90,74793
7891515522377,16.45,74795
7891515522384,16.45,74796
7891515531676,12.90,81211
7891515544041,20.90,78064
7891515544911,29.99,77382
7891515546847,22.90,81596
7891515549527,0.00,83217
7891515551346,6.49,81651
7891515551353,19.90,81652
7891515557454,7.99,81669
7891515557461,7.99,81670
7891515560775,0.00,83230
7891515560782,0.00,83231
7891515562748,0.00,83221
7891515562755,0.00,83220
7891515562847,0.00,83229
7891515564803,0.00,83225
7891515565152,0.00,83224
7891515566838,0.00,83223
7891515853853,11.90,9531
7891515879716,2.49,9236
7891515936310,7.99,9139
7891528001395,5.79,62150
7891528012582,11.25,31522
7891528030142,3.15,3963
7891528038308,3.69,18895
7891528038827,5.99,27024
7891528112534,6.99,29515
7891991000727,2.69,3594
7891991000819,2.69,3617
7891991000833,2.69,3613
7891991000840,2.89,9954
7891991001373,6.49,3592
7891991001380,5.29,81963
7891991002646,3.19,3448
7891991002684,3.19,3598
7891991008761,4.68,3433
7891991010023,2.35,10297
7891991013772,1.99,74154
7891991014908,1.09,82881
7891991014984,1.09,82880
7891991015462,4.49,77484
7891991015493,3.29,74152
7891991015967,3.79,81953
7891991015981,3.79,81954
7891991294942,2.99,77531
7891991296465,5.99,81386
7891991297615,5.29,83153
7891991297639,5.29,83152
7892840800079,2.69,3627
7892840800239,3.19,65260
7892840800567,1.09,82879
7892840802714,4.99,3630
7892840802745,2.69,3631
7892840808013,3.99,10543
7892840808044,3.99,10565
7892840812416,6.79,9747
7892840812423,3.25,9749
7892840812737,3.25,23610
7892840812751,6.79,23608
7892840812850,3.25,43105
7892840812874,6.79,60754
7892840813444,5.99,63078
7893000005945,15.90,39905
7893000012547,19.99,10076
7893000024632,26.90,14151
7893000025653,5.45,18997
7893000027701,5.49,9468
7893000027718,5.49,9474
7893000043213,5.49,9475
7893000043220,5.49,9465
7893000052888,19.99,9109
7893000052895,19.99,9110
7893000084308,13.90,46051
7893000084360,7.99,67164
7893000135529,13.29,9593
7893000387096,27.90,9340
7893000474901,9.69,9681
7893000486317,27.90,9438
7893000488878,17.90,13903
7893000516083,19.90,13936
7893000671997,15.90,9337
7893000949355,9.69,9673
7893000969032,45.90,10071
7893753299622,15.89,61726
7893753299639,15.99,61733
7893753299653,25.90,61727
7893753600466,22.90,61711
7893753600473,22.90,61712
7893753601838,25.90,63206
7893753602439,11.90,73634
7893753603023,26.90,73450
7893753603276,18.90,73642
7894900011517,6.99,2976
7894900011609,3.89,2982
7894900701517,7.59,3009
7894904085774,5.63,82624
7894904208982,26.96,82710
7894904209002,14.47,82711
7894904209026,15.96,82716
7894904209033,14.96,82715
7894904209040,19.96,82720
7894904209064,14.87,82723
7894904209071,15.97,82724
7894904209095,14.97,82725
7894904209125,14.87,82728
7894904209170,16.86,82629
7894904209194,15.96,82632
7894904209224,10.96,82739
7894904209293,13.93,82673
7894904209309,12.93,82675
7894904209316,10.93,82672
7894904211913,10.87,82799
7894904214013,11.63,82730
7894904214044,19.97,82719
7894904214082,13.43,82674
7894904214112,25.97,82738
7894904214129,7.63,82750
7894904214136,7.63,82749
7894904214204,6.96,82701
7894904214211,6.96,82794
7894904214259,13.86,82764
7894904215393,15.97,82729
7894904223176,16.47,82718
7894904223190,14.47,82713
7894904240920,9.93,82797
7894904240944,9.93,82798
7894904986453,9.96,82700
7896002100014,8.99,12723
7896006701156,49.99,20037
7896007511617,5.59,3607
7896010100297,11.35,41790
7896013511656,18.99,47684
7896013540717,18.99,47681
7896013547808,18.99,47679
7896023080487,12.49,12915
7896044936916,10.99,59072
7896044936923,10.99,59069
7896044952794,10.99,59077
7896044953562,10.99,59080
7896046700614,23.99,76494
7896049508217,4.89,4259
7896066301198,8.79,71199
7896066304571,10.69,69473
7896066304595,10.69,61218
7896067200162,9.90,13486
7896067203033,9.69,13497
7896072649215,4.19,48080
7896094907546,6.49,4807
7896094907713,5.99,4401
7896098801277,5.99,19546
7896098802502,6.99,849
7896098813713,5.99,853
7896098813720,5.99,16170
7896098813737,5.99,39058
7896098825020,6.99,39057
7896150013730,4.39,4536
7896150013754,4.39,4547
7896185310033,3.89,9
7896185310040,3.89,8
7896185310057,3.89,5174
7896193800007,7.29,8043
7896193800021,8.49,7990
7896193800038,7.69,7982
7896193800052,7.69,7986
7896193800106,3.99,7998
7896193800113,7.29,8011
7896193800229,7.29,8014
7896193800281,3.99,8053
7896193800335,7.29,8018
7896193800373,8.99,40471
7896193800380,8.99,40472
7896193800427,7.90,47311
7896216100039,8.75,8098
7896216100046,8.75,8095
7896216100114,12.99,8067
7896216100558,10.59,8133
7896216102002,9.99,8061
7896224410717,4.79,19505
7896275900212,31.98,80210
7896275920159,8.99,9158
7896275920258,1.89,53086
7896275921101,7.79,74700
7896275950316,17.90,8094
7896275960322,6.99,43100
7896275960544,1.79,43088
7896275960988,1.79,43089
7896275970017,8.90,5841
7896275970123,1.89,43091
7896275970185,8.99,53340
7896275970406,5.99,41785
7896275970529,1.69,43095
7896275970765,6.99,43101
7896275970772,1.69,43158
7896275970796,3.79,41788
7896275970970,1.79,43090
7896275970987,1.89,65243
7896275970994,1.89,43157
7896275980108,1.89,43097
7896275980290,3.79,41787
7896275980436,3.79,41789
7896275980504,3.29,43086
7896275980511,2.29,42760
7896275980528,2.29,41005
7896275980665,2.19,50057
7896275980672,2.19,50058
7896275980689,10.90,64444
7896275981150,6.99,65242
7896279102650,8.99,3308
7896279103787,8.99,3307
7896283004117,10.25,68948
7896283006999,12.49,80658
7896283007002,15.49,80657
7896292000100,6.49,61663
7896292000117,6.49,64936
7896292000124,6.49,61666
7896292000131,17.49,34416
7896292000186,16.99,1515
7896292000216,43.65,72388
7896292000391,10.29,1815
7896292001084,17.99,1467
7896292001404,9.99,1528
7896292001442,3.99,1508
7896292001534,9.49,57299
7896292002708,9.49,41723
7896292002739,9.49,41725
7896292002746,9.49,1432
7896292002753,9.49,1429
7896292002760,9.49,41724
7896292002784,5.99,68001
7896292002791,5.99,74158
7896292002807,2.89,1560
7896292002821,2.89,1561
7896292002838,2.89,1563
7896292002845,2.89,21208
7896292002869,2.89,1565
7896292005754,22.90,1513
7896292005761,13.99,70607
7896292005907,6.99,1646
7896292006003,3.39,1453
7896292006010,3.39,1447
7896292006027,3.39,1446
7896292006034,3.39,1452
7896292006072,3.39,1450
7896292006317,3.99,41720
7896292010000,7.35,1520
7896292050655,2.29,46583
7896327310075,17.99,52607
7896331100839,6.69,81388
7896480638498,3.45,3324
7896494207314,9.90,79643
7896494208342,9.90,79644
7896547501154,3.99,64692
7896547501277,3.99,64695
7896637300025,16.90,11371
7896637300049,26.90,11373
7896637300094,6.69,13607
7896637300100,14.99,7731
7896637300155,15.90,11302
7896637300193,10.90,11294
7896637300216,21.90,11304
7896637300223,69.00,74772
7896637300230,9.99,7629
7896637300278,9.99,7644
7896637300384,6.99,11379
7896637300421,3.99,8692
7896637305006,49.00,74773
7896661200025,8.69,74460
7896661200056,9.90,74459
7896661200117,14.90,79701
7896661200629,3.99,74457
7896661212059,9.49,74450
7896661220016,13.90,74455
7896661220047,13.90,74454
7896661230053,21.90,74448
7896661230060,9.90,74446
7896772800107,9.99,4351
7896772800152,4.99,30397
7896877440109,10.99,11407
7896877440116,16.98,11406
7896877453000,14.99,11404
7896877463115,189.90,11236
7896901200013,22.90,27004
7896901200143,26.90,6554
7896901200150,14.99,6605
7896901200235,7.49,70706
7896902209114,3.39,37674
7897037200014,3.69,3148
7897037200021,3.69,3125
7897037200038,3.69,3158
7897037200052,3.69,3113
7897037200151,3.69,3121
7897037200199,1.59,3154
7897037200267,3.69,3135
7897037200533,3.69,60135
7897042700080,10.59,62141
7897042700257,10.59,62139
7897042700264,10.59,62135
7897042700295,10.59,62138
7897096600534,6.70,35029
7897158701575,10.99,2594
7897158701582,14.49,2630
7897173001254,19.90,1529
7897232203674,8.76,82800
7897318900572,15.90,78999
7897395031602,6.29,10536
7897395099343,3.59,75356
7897517207212,2.99,6935
7897664171497,19.99,62420
7897846900174,5.99,26562
7897846900181,13.19,21627
7897846900204,4.69,21647
7897846900211,13.19,21626
7897846900280,8.19,21637
7897846900303,15.49,21632
7897846900310,8.59,21629
7897846900426,5.25,21630
7897846900785,11.99,73391
7897846900938,8.99,21624
7897846900945,28.99,1983
7897846900952,28.99,1987
7897846900969,28.99,1985
7897846901102,9.25,1847
7897846901201,11.89,45197
7897846901256,12.49,23623
7897846902086,16.49,59621
7897846902321,22.99,63922
7897846903069,11.99,73388
7897846903076,11.99,73390
7897846903090,16.49,73375
7897871701029,5.39,17148
7897871701043,3.19,6788
7898022160030,4.79,49923
7898022160054,3.99,46526
7898022160092,12.99,17351
7898022160160,4.39,23400
7898022160238,6.99,40215
7898022160399,3.99,61543
7898022160412,4.99,65178
7898022162003,7.39,49924
7898025920259,29.99,39314
7898079002956,8.99,40514
7898096641060,22.90,72412
7898096641077,10.99,72409
7898115900338,3.99,72513
7898126320842,17.98,54935
7898126320897,24.98,57310
7898147033073,9.90,58804
7898162350810,13.90,17033
7898162352258,14.90,17403
7898177684023,19.90,57417
7898215602453,0.00,45835
7898216295784,135.90,76947
7898233609991,5.99,74452
7898240300126,2.49,4577
7898240300157,4.79,4576
7898240300515,4.69,4887
7898240300522,4.69,57259
