codigo_de_barras,estoque
24,211.392
161,626.643
192,280.005
352,436.477
383,529.262
406,38.253
819,830.426
840,279.471
864,669.924
901,694.751
932,403.612
1106,1388.812
1113,-4.680
1250,1658.729
1267,191.635
1557,840.261
1960,251.210
2035,71.814
2363,103.816
2578,40.583
2660,54.988
2714,-6.294
2752,54.975
2813,-9.614
2868,1084.049
3117,61.740
3155,61.434
3384,27.552
3452,203.634
3650,36.473
3766,2530.303
4008,159.899
4022,155.936
4145,41.692
4152,708.688
4169,322.021
4190,828.807
4213,47.584
4268,829.399
4275,199.906
4282,2.000
4398,875.876
4404,357.703
4411,111.424
4428,115.238
4435,299.652
4459,258.968
4466,392.752
4480,187.449
4503,87.350
4510,1263.777
4664,218.177
4688,67.469
4701,71.474
4770,636.944
4794,186.828
4800,14.124
4831,24.244
4930,105.482
5043,276.413
5197,115.398
5241,131.163
5289,735.268
5333,62.358
5364,95.343
5463,77.721
5470,200.640
5654,147.688
6040,-11.962
6064,-11.140
6088,-8.692
6118,-12.502
6125,-39.586
6156,-32.056
6170,-10.640
6231,-1.646
6491,-31.242
6767,-16.042
6798,-30.794
6996,398.110
7429,-17.162
7603,64.000
8105,12.100
8167,36.402
8211,10.727
8648,197.684
8747,33.900
8785,53.536
9003,40.448
11143,29.703
11525,0.258
11662,-44.052
11792,203.598
11808,80.765
11839,506.926
12171,753.272
12386,324.555
12515,35.050
12676,85.012
12799,-93.934
12928,3.378
14991,1.964
16063,-6.640
16155,-28.014
16315,120.366
16421,4.218
17060,-4.708
17411,98.386
18296,216.334
18470,523.723
19798,128.908
20220,101.200
20756,49.364
20930,-5.134
21579,345.467
22064,-13.618
25379,165.846
33244,59.638
33428,49.734
34241,514.682
40365,787.302
42291,19.800
43977,9.514
44905,428.872
47166,10.768
50197,-3.328
50838,-6.328
51163,-26.246
51248,-24.314
51583,140.525
52634,19.456
52665,19.698
53099,14.738
53174,1530.690
54034,30.188
54058,38.972
56151,12.088
56175,9.828
57974,350.071
58193,-0.264
58261,-2.393
58315,-0.673
58322,-0.469
58339,-0.231
58391,-9.616
58506,-4.629
59596,27.631
60721,7.674
60738,8.942
60745,7.470
60851,4.188
60899,64.158
113564,8.000
128360,2.000
168816,28.000
171427,-291.000
171793,112.000
171816,10.000
177634,2.000
186056,-23.000
211727,179.000
416191,-2.000
78902091,545.000
78909434,101.000
78918894,583.000
78928152,31.000
78935952,488.000
78937147,332.000
78939301,14449.000
78939318,3105.000
789715720,91.000
789717243,33.000
789718608,36.000
41333001029,155.000
41333121062,37.000
70330703629,123.000
736532602046,25.000
751320775535,135.000
894400000056,27.000
4005900455901,1.000
4005900521934,319.000
5601216120152,1620.000
5601252231164,1526.000
5601855119005,2440.000
5608190410057,160.000
7501059273252,224.000
7506339389876,7.000
7509546069609,72.000
7509546663012,382.000
7613031526406,113.000
7613033279461,76.000
7613033353321,4204.000
7622210762924,151.000
7622210932402,187.000
7622210942890,32.000
7622210942944,38.000
7622210961716,233.000
7622300451486,44.000
7622300807399,3060.000
7622300861148,511.000
7622300861261,263.000
7622300988470,142.000
7622300991524,407.000
7791293025780,19.000
7804670150842,2213.000
7890203650002,26.000
7891000006689,60.000
7891000053508,1333.000
7891000067178,553.000
7891000072950,898.000
7891000086254,682.000
7891000089859,40.000
7891000100103,5827.000
7891000101957,1143.000
7891000120101,988.000
7891000126905,1218.000
7891000140307,285.000
7891000242117,14.000
7891000252819,77.000
7891000253540,159.000
7891000261606,177.000
7891000282809,26.000
7891000289709,264.000
7891000310724,14.000
7891000451304,59.000
7891000460207,256.000
7891000919507,49.000
7891010247393,142.000
7891010247409,1110.000
7891010505448,48.000
7891010877989,256.000
7891021001946,620.000
7891021002103,111.000
